time,symbol,side,lots,price,pnl,cost
2026-07-03 14:25:00,FG_IDX,OPEN_LONG,10.0,985.0,,
2026-07-03 14:25:00,J_IDX,OPEN_LONG,1.0,1953.0,,
2026-07-03 14:25:00,SA_IDX,OPEN_SHORT,9.0,1111.0,,
2026-07-03 14:25:00,I_IDX,OPEN_SHORT,2.0,737.0,,
2026-07-03 14:25:00,Y_IDX,OPEN_SHORT,2.0,8401.0,,
2026-07-03 21:10:00,J_IDX,STOP_LOSS_LONG,,,-2450.0,78.9275
2026-07-04 10:40:00,SA_IDX,STOP_LOSS_SHORT,,,-2520.0,200.25
2026-07-07 01:55:00,I_IDX,STOP_LOSS_SHORT,,,-1600.0,114.9
2026-07-07 14:10:00,Y_IDX,STOP_LOSS_SHORT,,,-1720.0,48.487
2026-07-07 14:55:00,FG_IDX,CLOSE_LONG,,,0.0,219.7
2026-07-07 14:55:00,Y_IDX,OPEN_LONG,2.0,8473.0,,
2026-07-07 14:55:00,LC_IDX,OPEN_LONG,1.0,163440.0,,
2026-07-07 14:55:00,AL_IDX,OPEN_LONG,1.0,22890.0,,
2026-07-07 14:55:00,RU_IDX,OPEN_SHORT,1.0,17140.0,,
2026-07-07 14:55:00,M_IDX,OPEN_SHORT,7.0,3032.0,,
2026-07-07 14:55:00,I_IDX,OPEN_SHORT,2.0,737.0,,
2026-07-07 14:55:00,RB_IDX,OPEN_SHORT,7.0,3068.0,,
2026-07-08 01:55:00,I_IDX,STOP_LOSS_SHORT,,,-1600.0,114.9
2026-07-08 05:40:00,RB_IDX,STOP_LOSS_SHORT,,,-2240.0,91.7
2026-07-08 10:55:00,LC_IDX,STOP_LOSS_LONG,,,-1880.0,62.924800000000005
2026-07-08 14:25:00,Y_IDX,CLOSE_LONG,,,1800.0,48.563
2026-07-08 14:25:00,AL_IDX,CLOSE_LONG,,,575.0,28.45075
2026-07-08 14:25:00,M_IDX,CLOSE_SHORT,,,-2030.0,80.7135
2026-07-08 14:25:00,TA_IDX,OPEN_LONG,7.0,5744.0,,
2026-07-08 14:25:00,SR_IDX,OPEN_SHORT,3.0,5374.0,,
2026-07-08 14:25:00,CF_IDX,OPEN_SHORT,2.0,16490.0,,
2026-07-08 21:10:00,TA_IDX,STOP_LOSS_LONG,,,-9450.0,81.4954
2026-07-09 13:55:00,SR_IDX,CLOSE_SHORT,,,1530.0,37.9845
2026-07-09 13:55:00,CF_IDX,CLOSE_SHORT,,,1800.0,59.786
2026-07-09 13:55:00,LC_IDX,OPEN_LONG,1.0,153140.0,,
2026-07-09 13:55:00,AL_IDX,OPEN_SHORT,1.0,23110.0,,
2026-07-09 13:55:00,ZN_IDX,OPEN_SHORT,1.0,24720.0,,
